Date,Open*,High,Low,Close**,Volume,MarketCap
26-Jun-18,3.796126627,3.798661693,3.784878931,3.784878931,9.515842065,11.0295177
25-Jun-18,3.790423806,3.801223231,3.786728713,3.795823034,9.740426645,11.02376672
24-Jun-18,3.789882357,3.794054233,3.765401042,3.790512458,9.659622453,11.02317012
23-Jun-18,3.784624424,3.794126798,3.783318173,3.789755523,9.535466284,11.01785938
22-Jun-18,3.828523272,3.82911586,3.778628712,3.784167076,9.705847469,11.06171253
21-Jun-18,3.831235459,3.833207054,3.827057012,3.827998286,9.547667656,11.06437187
20-Jun-18,3.83063742,3.833883703,3.820324963,3.831008647,9.589797739,11.06372356
19-Jun-18,3.82881387,3.833943544,3.826717342,3.83058482,9.608208219,11.06185191
18-Jun-18,3.813585658,3.831302711,3.809336113,3.828325993,9.606295358,11.0465693
17-Jun-18,3.815944818,3.818826758,3.812864579,3.812864579,9.491924511,11.04888054
16-Jun-18,3.809926522,3.81904948,3.806335342,3.816251909,9.504358026,11.04280776
15-Jun-18,3.824391408,3.824846672,3.808472281,3.810002537,9.597189311,11.05722474
14-Jun-18,3.802277594,3.826537372,3.801709598,3.824474041,9.710854109,11.03506133
13-Jun-18,3.819338584,3.821622252,3.798348813,3.802766886,9.703493429,11.05207803
12-Jun-18,3.839215254,3.839349814,3.815715851,3.818381631,9.667861838,11.07190777
11-Jun-18,3.832463565,3.83948936,3.826504347,3.839284426,9.676260928,11.06511268
10-Jun-18,3.875035205,3.875035205,3.826662323,3.831615135,9.763790254,11.10764405
9-Jun-18,3.882667951,3.885563617,3.876909158,3.876909158,9.584921193,11.11523096
8-Jun-18,3.885651783,3.886388626,3.878429872,3.882235291,9.626091835,11.11816879
7-Jun-18,3.883707984,3.888812215,3.883707984,3.885261683,9.651839907,11.11617921
6-Jun-18,3.882295092,3.885385535,3.875177639,3.883887323,9.671382069,11.11472104
5-Jun-18,3.875113376,3.883276929,3.869055619,3.882738502,9.695634003,11.10748471
4-Jun-18,3.887759604,3.889515715,3.873555418,3.875898355,9.698376353,11.12007025
3-Jun-18,3.882643483,3.889575642,3.881558112,3.887631364,9.68589931,11.11490442
2-Jun-18,3.877182381,3.886255466,3.874902572,3.883289429,9.693665405,11.10939291
1-Jun-18,3.875101796,3.881083799,3.869662279,3.877454856,9.69209396,11.10725747
31-May-18,3.869592504,3.881321876,3.866944488,3.874723541,9.709874329,11.10169897
30-May-18,3.873304904,3.879312112,3.864131204,3.8696142,9.692189254,11.10535347
29-May-18,3.853056637,3.87658845,3.850687886,3.873471154,9.753020486,11.08506213
28-May-18,3.867544676,3.870348298,3.851312785,3.853454233,9.702482235,11.09950109
27-May-18,3.867000532,3.868158744,3.861591755,3.867362585,9.608153622,11.09890319
26-May-18,3.874277669,3.880536927,3.866235339,3.866634636,9.607620131,11.10612968
25-May-18,3.88037336,3.884180008,3.868800145,3.873909726,9.687335403,11.11216915
24-May-18,3.878586131,3.888662399,3.865171513,3.880089546,9.781699379,11.11033714
23-May-18,3.905098291,3.906047213,3.875517323,3.878396544,9.812319638,11.13679664
22-May-18,3.925305386,3.925479691,3.903338549,3.905352188,9.710710411,11.15695479
21-May-18,3.930558347,3.932347923,3.922472175,3.925259994,9.712227827,11.162158
20-May-18,3.916295468,3.93259602,3.914091289,3.930095387,9.715256049,11.14784939
19-May-18,3.916755481,3.922832332,3.912931126,3.916305473,9.673242147,11.14826014
18-May-18,3.90804675,3.917721815,3.901720889,3.916505008,9.760738288,11.13950442
17-May-18,3.922728052,3.926627423,3.906018096,3.90818037,9.768085078,11.15414389
16-May-18,3.929644189,3.92984943,3.912513792,3.922664746,9.82996083,11.16100244
15-May-18,3.939778254,3.946265046,3.927188085,3.929948952,9.826444768,11.17109136
14-May-18,3.940172698,3.948467738,3.922620115,3.940356583,9.867122626,11.17144268
13-May-18,3.930209643,3.943175355,3.924026908,3.94071267,9.768370191,11.16143389
12-May-18,3.926416538,3.93776155,3.915056697,3.929668701,9.833872244,11.1575867
11-May-18,3.956790601,3.956790601,3.923992764,3.92641911,9.928831976,11.18792099
10-May-18,3.969693548,3.972944857,3.956193411,3.956357672,9.839270592,11.20077392
9-May-18,3.964906582,3.971960158,3.955765657,3.969657224,9.858951444,11.19593561
8-May-18,3.972243118,3.976017366,3.960364688,3.965428435,9.870162108,11.20322877
7-May-18,3.9843324,3.985240051,3.965273685,3.97187908,9.868880621,11.21526999
6-May-18,3.993229395,3.997392501,3.976132089,3.984743282,9.858674322,11.2241211
5-May-18,3.98678427,3.998455511,3.986553189,3.993795422,9.883771556,11.21762868
4-May-18,3.986570211,3.990303328,3.981635612,3.98680576,9.914757153,11.21736812
3-May-18,3.965388459,3.991152062,3.963228077,3.988731035,10.00891088,11.19614025
2-May-18,3.95926087,3.966447744,3.954972475,3.965480162,9.878416081,11.18996449
1-May-18,3.966210745,3.966417715,3.948953053,3.959947692,9.887224457,11.19686675
30-Apr-18,3.974332504,3.976677296,3.96221823,3.965697821,9.938215412,11.20493894
29-Apr-18,3.970644828,3.979160797,3.963490801,3.974008486,9.947090464,11.20120042
28-Apr-18,3.951302055,3.973686071,3.950948228,3.970741003,9.892399615,11.18181787
27-Apr-18,3.968045165,3.971993048,3.953617158,3.953617158,9.878882983,11.19851413
26-Apr-18,3.947792381,3.967618637,3.940869455,3.967618637,9.952819555,11.17821699
25-Apr-18,3.986817848,3.988796104,3.944474776,3.94673417,10.04466125,11.21720222
24-Apr-18,3.951062476,3.988229321,3.950745912,3.986659788,10.02852245,11.18139764
23-Apr-18,3.944205721,3.952237722,3.943930076,3.950894254,9.840431693,11.17449011
22-Apr-18,3.950611144,3.95432164,3.943475224,3.94460406,9.821506978,11.18084528
21-Apr-18,3.946883889,3.954125234,3.93712404,3.94917427,9.877863536,11.17706588
20-Apr-18,3.91839105,3.948424214,3.916166429,3.946738589,9.926245183,11.14853171
19-Apr-18,3.911651305,3.919009542,3.910559309,3.918780263,9.849002119,11.14173503
18-Apr-18,3.900062743,3.913697319,3.896857323,3.911872141,9.814907196,11.13009565
17-Apr-18,3.90696286,3.918342832,3.896621002,3.897741972,9.838904475,11.13694241
16-Apr-18,3.921039493,3.922785124,3.899039273,3.906263372,9.750609436,11.1509743
15-Apr-18,3.903053613,3.921083766,3.903053613,3.920598598,9.719702434,11.13293814
14-Apr-18,3.896232363,3.910662284,3.894648304,3.902342357,9.715287002,11.12607293
13-Apr-18,3.897687009,3.912963498,3.889801834,3.89740494,9.890111257,11.12747412
12-Apr-18,3.842320862,3.897584759,3.832924487,3.897035719,9.949694882,11.07205863
11-Apr-18,3.835276368,3.843128086,3.83363088,3.843128086,9.666694845,11.06492947
10-Apr-18,3.832217582,3.837109061,3.826343723,3.834723269,9.630707483,11.06185191
9-Apr-18,3.847839076,3.856010109,3.823603976,3.830635496,9.689669289,11.07742605
8-Apr-18,3.840104839,3.851964879,3.840104839,3.846554823,9.562590225,11.0696385
7-Apr-18,3.821546934,3.848222381,3.821546934,3.839546549,9.599513,11.05102511
6-Apr-18,3.833527033,3.836165183,3.817895757,3.821927319,9.575973715,11.06296159
5-Apr-18,3.835604972,3.840972563,3.822481914,3.833240848,9.751226739,11.0649893
4-Apr-18,3.87252978,3.873313625,3.832756645,3.835933962,9.693375151,11.10186388
3-Apr-18,3.851396567,3.876849188,3.849572342,3.872512307,9.740339,11.08068059
2-Apr-18,3.83536457,3.853422585,3.833566536,3.850266291,9.636832788,11.06459649
1-Apr-18,3.845287847,3.848863136,3.814704963,3.835324596,9.656299484,11.07446901
31-Mar-18,3.838375515,3.85780574,3.836546904,3.843452674,9.658323404,11.0675172
30-Mar-18,3.855606975,3.861932083,3.825031893,3.838251998,9.798616812,11.08469779
29-Mar-18,3.901952275,3.902782072,3.8501179,3.855258622,9.803541098,11.13099275
28-Mar-18,3.894140426,3.909710572,3.892604877,3.900611794,9.693312677,11.12313594
27-Mar-18,3.913813852,3.91554651,3.89194313,3.893930344,9.730640986,11.14276165
26-Mar-18,3.929340746,3.930953104,3.898803589,3.914311417,9.772397995,11.15824184
25-Mar-18,3.935144867,3.938620282,3.92681045,3.929203258,9.659904796,11.16400171
24-Mar-18,3.949485151,3.954058136,3.93780365,3.937924915,9.753169248,11.17829189
23-Mar-18,3.941325053,3.948394381,3.922238485,3.948394381,9.774817583,11.17008855
22-Mar-18,3.951310314,3.959075276,3.932722297,3.940938124,9.742755759,11.18002833
21-Mar-18,3.951215083,3.962718241,3.946763136,3.950816442,9.781261937,11.17988485
20-Mar-18,3.935490639,3.956697525,3.923756267,3.950046807,9.803579329,11.16412077
19-Mar-18,3.921380541,3.938313036,3.912880706,3.936043505,9.827957628,11.14995771
18-Mar-18,3.897105625,3.916217523,3.86911374,3.915066203,9.822115097,11.12563414
17-Mar-18,3.920223015,3.921505959,3.892807819,3.898554062,9.646026128,11.14870751
16-Mar-18,3.920275198,3.933747888,3.903378154,3.921080121,9.723404769,11.14870751
15-Mar-18,3.918594343,3.925742562,3.89114982,3.919123089,9.8347023,11.14698028
14-Mar-18,3.964478844,3.97108325,3.906797648,3.917495532,9.808766487,11.19282104
13-Mar-18,3.962513287,3.976367405,3.952220269,3.963544649,9.777509468,11.19080216
12-Mar-18,3.982403763,3.997277142,3.952134936,3.964029454,9.810057689,11.21064218
11-Mar-18,3.947079672,3.987303755,3.934857858,3.981303398,9.799090241,11.17526822
10-Mar-18,3.970839015,3.979153051,3.945885446,3.947727727,9.731292151,11.19898406
9-Mar-18,3.973806024,3.976182558,3.930084164,3.97023294,9.939728362,11.20190214
8-Mar-18,3.997885929,4.00635478,3.970154796,3.972897247,9.856492652,11.22593184
